          Index           Name           S[m]       Beta1[m]         Alfa1x       Beta2[m]          Alfa2            c11            c12            c21            c22          Dx[m]            Dxp          Dy[m]            Dyp      Q1 [2*PI]      Q2 [2*PI]
              0          DTEMP          0.098        5.05781    -0.00317314        4.93418     -0.0292256      -0.329241      -0.944664       0.039309      -0.330712    -0.00723188    -0.00240635      0.0180764     0.00371209     0.00308359     0.00316247
              1          DTEMP          0.196        5.06033     -0.0225493        4.94186      -0.049104      -0.325389      -0.945186       0.039309      -0.334564     -0.0074677    -0.00240635      0.0184402     0.00371209     0.00616679     0.00632126
              2          DTEMP          0.294        5.06665     -0.0419255        4.95343     -0.0689824      -0.321536      -0.946463       0.039309      -0.338417    -0.00770352    -0.00240635       0.018804     0.00371209     0.00924731     0.00947392
              3          DTEMP          0.392        5.07676     -0.0613017         4.9689     -0.0888608      -0.317684      -0.948494       0.039309      -0.342269    -0.00793934    -0.00240635      0.0191678     0.00371209      0.0123228       0.012618
              4          DTEMP           0.49        5.09068     -0.0806778        4.98827      -0.108739      -0.313832      -0.951281       0.039309      -0.346121    -0.00817516    -0.00240635      0.0195316     0.00371209      0.0153911       0.015751
              5          DTEMP          0.588        5.10839      -0.100054        5.01153      -0.128618       -0.30998      -0.954823       0.039309      -0.349974    -0.00841099    -0.00240635      0.0198953     0.00371209      0.0184498      0.0188708
              6          DTEMP          0.686         5.1299       -0.11943        5.03868      -0.148496      -0.306127       -0.95912       0.039309      -0.353826    -0.00864681    -0.00240635      0.0202591     0.00371209      0.0214969      0.0219748
              7          DTEMP          0.784        5.15521      -0.138806        5.06974      -0.168374      -0.302275      -0.964172       0.039309      -0.357678    -0.00888263    -0.00240635      0.0206229     0.00371209        0.02453       0.025061
              8          DTEMP          0.882        5.18431      -0.158183        5.10469      -0.188253      -0.298423      -0.969979       0.039309       -0.36153    -0.00911845    -0.00240635      0.0209867     0.00371209      0.0275472      0.0281272
              9          DTEMP           0.98        5.21721      -0.177559        5.14353      -0.208131       -0.29457      -0.976541       0.039309      -0.365383    -0.00935427    -0.00240635      0.0213505     0.00371209      0.0305464      0.0311713
             10          DTEMP          1.078        5.25392      -0.196935        5.18627       -0.22801      -0.290718      -0.983858       0.039309      -0.369235     -0.0095901    -0.00240635      0.0217143     0.00371209      0.0335257      0.0341913
             11          DTEMP          1.176        5.29441      -0.216311        5.23291      -0.247888      -0.286866      -0.991931       0.039309      -0.373087    -0.00982592    -0.00240635      0.0220781     0.00371209      0.0364832      0.0371854
             12          DTEMP          1.274        5.33871      -0.235687        5.28345      -0.267766      -0.283014       -1.00076       0.039309       -0.37694     -0.0100617    -0.00240635      0.0224418     0.00371209      0.0394171      0.0401519
             13          DTEMP          1.372         5.3868      -0.255063        5.33788      -0.287645      -0.279161       -1.01034       0.039309      -0.380792     -0.0102976    -0.00240635      0.0228056     0.00371209      0.0423257      0.0430891
             14          DTEMP           1.47        5.43869       -0.27444         5.3962      -0.307523      -0.275309       -1.02068       0.039309      -0.384644     -0.0105334    -0.00240635      0.0231694     0.00371209      0.0452074      0.0459954
             15          DTEMP          1.568        5.49438      -0.293816        5.45843      -0.327402      -0.271457       -1.03177       0.039309      -0.388496     -0.0107692    -0.00240635      0.0235332     0.00371209      0.0480608      0.0488694
             16          DTEMP          1.666        5.55387      -0.313192        5.52455       -0.34728      -0.267604       -1.04362       0.039309      -0.392349      -0.011005    -0.00240635       0.023897     0.00371209      0.0508845      0.0517099
             17          DTEMP          1.764        5.61715      -0.332568        5.59456      -0.367158      -0.263752       -1.05622       0.039309      -0.396201     -0.0112408    -0.00240635      0.0242608     0.00371209      0.0536771      0.0545155
             18          DTEMP          1.862        5.68424      -0.351944        5.66847      -0.387037        -0.2599       -1.06958       0.039309      -0.400053     -0.0114767    -0.00240635      0.0246246     0.00371209      0.0564375      0.0572854
             19          DTEMP           1.96        5.75512       -0.37132        5.74628      -0.406915      -0.256048       -1.08369       0.039309      -0.403906     -0.0117125    -0.00240635      0.0249883     0.00371209      0.0591647      0.0600184
             20          DTEMP          2.058        5.82979      -0.390697        5.82798      -0.426794      -0.252195       -1.09856       0.039309      -0.407758     -0.0119483    -0.00240635      0.0253521     0.00371209      0.0618575      0.0627137
             21          DTEMP          2.156        5.90827      -0.410073        5.91358      -0.446672      -0.248343       -1.11418       0.039309       -0.41161     -0.0121841    -0.00240635      0.0257159     0.00371209      0.0645152      0.0653707
             22          DTEMP          2.254        5.99054      -0.429449        6.00308       -0.46655      -0.244491       -1.13056       0.039309      -0.415462       -0.01242    -0.00240635      0.0260797     0.00371209       0.067137      0.0679886
             23          DTEMP          2.352        6.07661      -0.448825        6.09647      -0.486429      -0.240638       -1.14769       0.039309      -0.419315     -0.0126558    -0.00240635      0.0264435     0.00371209      0.0697223      0.0705669
             24          DTEMP           2.45        6.16648      -0.468201        6.19376      -0.506307      -0.236786       -1.16558       0.039309      -0.423167     -0.0128916    -0.00240635      0.0268073     0.00371209      0.0722704      0.0731052
             25          DTEMP          2.548        6.26015      -0.487577        6.29494      -0.526186      -0.232934       -1.18422       0.039309      -0.427019     -0.0131274    -0.00240635       0.027171     0.00371209      0.0747808      0.0756032
             26          DTEMP          2.646        6.35761      -0.506954        6.40002      -0.546064      -0.229082       -1.20362       0.039309      -0.430872     -0.0133632    -0.00240635      0.0275348     0.00371209      0.0772533      0.0780606
             27          DTEMP          2.744        6.45887       -0.52633          6.509      -0.565942      -0.225229       -1.22377       0.039309      -0.434724     -0.0135991    -0.00240635      0.0278986     0.00371209      0.0796874      0.0804773
             28          DTEMP          2.842        6.56393      -0.545706        6.62187      -0.585821      -0.221377       -1.24468       0.039309      -0.438576     -0.0138349    -0.00240635      0.0282624     0.00371209      0.0820829      0.0828531
             29          DTEMP           2.94        6.67279      -0.565082        6.73864      -0.605699      -0.217525       -1.26634       0.039309      -0.442428     -0.0140707    -0.00240635      0.0286262     0.00371209      0.0844397      0.0851881
             30          DTEMP          3.038        6.78545      -0.584458        6.85931      -0.625578      -0.213672       -1.28876       0.039309      -0.446281     -0.0143065    -0.00240635        0.02899     0.00371209      0.0867578      0.0874823
             31          DTEMP          3.136         6.9019      -0.603835        6.98387      -0.645456       -0.20982       -1.31193       0.039309      -0.450133     -0.0145424    -0.00240635      0.0293538     0.00371209       0.089037      0.0897359
             32          DTEMP          3.234        7.02215      -0.623211        7.11232      -0.665334      -0.205968       -1.33586       0.039309      -0.453985     -0.0147782    -0.00240635      0.0297175     0.00371209      0.0912775       0.091949
             33          DTEMP          3.332         7.1462      -0.642587        7.24468      -0.685213      -0.202116       -1.36055       0.039309      -0.457838      -0.015014    -0.00240635      0.0300813     0.00371209      0.0934793       0.094122
             34          DTEMP           3.43        7.27404      -0.661963        7.38093      -0.705091      -0.198263       -1.38598       0.039309       -0.46169     -0.0152498    -0.00240635      0.0304451     0.00371209      0.0956427       0.096255
             35          DTEMP          3.528        7.40569      -0.681339        7.52107       -0.72497      -0.194411       -1.41218       0.039309      -0.465542     -0.0154856    -0.00240635      0.0308089     0.00371209      0.0977678      0.0983484
             36          DTEMP          3.626        7.54113      -0.700715        7.66512      -0.744848      -0.190559       -1.43913       0.039309      -0.469394     -0.0157215    -0.00240635      0.0311727     0.00371209       0.099855       0.100403
             37          DTEMP          3.724        7.68037      -0.720092        7.81305      -0.764726      -0.186706       -1.46683       0.039309      -0.473247     -0.0159573    -0.00240635      0.0315365     0.00371209       0.101905       0.102418
             38          DTEMP          3.822         7.8234      -0.739468        7.96489      -0.784605      -0.182854       -1.49529       0.039309      -0.477099     -0.0161931    -0.00240635      0.0319003     0.00371209       0.103917       0.104395
             39          DTEMP           3.92        7.97024      -0.758844        8.12062      -0.804483      -0.179002        -1.5245       0.039309      -0.480951     -0.0164289    -0.00240635       0.032264     0.00371209       0.105892       0.106335
             40          DTEMP          4.018        8.12087       -0.77822        8.28025      -0.824362       -0.17515       -1.55447       0.039309      -0.484804     -0.0166648    -0.00240635      0.0326278     0.00371209       0.107831       0.108237
             41          DTEMP          4.116         8.2753      -0.797596        8.44377       -0.84424      -0.171297       -1.58519       0.039309      -0.488656     -0.0169006    -0.00240635      0.0329916     0.00371209       0.109733       0.110102
             42          DTEMP          4.214        8.43353      -0.816972        8.61119      -0.864119      -0.167445       -1.61667       0.039309      -0.492508     -0.0171364    -0.00240635      0.0333554     0.00371209         0.1116       0.111932
             43          DTEMP          4.312        8.59555      -0.836349         8.7825      -0.883997      -0.163593       -1.64891       0.039309       -0.49636     -0.0173722    -0.00240635      0.0337192     0.00371209       0.113432       0.113725
             44          DTEMP           4.41        8.76138      -0.855725        8.95772      -0.903875       -0.15974       -1.68189       0.039309      -0.500213      -0.017608    -0.00240635       0.034083     0.00371209        0.11523       0.115484
             45          DTEMP          4.508          8.931      -0.875101        9.13682      -0.923754      -0.155888       -1.71564       0.039309      -0.504065     -0.0178439    -0.00240635      0.0344468     0.00371209       0.116993       0.117208
             46          DTEMP          4.606        9.10442      -0.894477        9.31983      -0.943632      -0.152036       -1.75014       0.039309      -0.507917     -0.0180797    -0.00240635      0.0348105     0.00371209       0.118723       0.118898
             47          DTEMP          4.704        9.28163      -0.913853        9.50673      -0.963511      -0.148184       -1.78539       0.039309       -0.51177     -0.0183155    -0.00240635      0.0351743     0.00371209       0.120419       0.120555
