          Index           Name          S[cm]     Beta1x[cm]         Alfa1x     Beta1y[cm]         Alfa1y    Nu1 [2*PI]      Beta2x[cm]         Alfa2x     Beta2y[cm]         Alfa2y     Nu2 [2*PI]              U        Dx [cm]            Dxp         Dy[cm]            Dyp      Q1 [2*PI]      Q2 [2*PI]        m56[m] 
              0          DTEMP            9.8        478.869    -0.00377261        26.1577    -0.00160048       0.082013        26.4316   -0.000535258        467.963     -0.0277469       0.417416      0.0525473      -0.643881    -0.00236788       0.902462     0.00185319     0.00308579     0.00315927              0
              1          DTEMP           19.6        479.123     -0.0221436        26.1992    -0.00263593      0.0819673        26.4521    -0.00155914        468.692     -0.0465618       0.417472      0.0525473      -0.667087    -0.00236788       0.920623     0.00185319      0.0061711     0.00631488              0
              2          DTEMP           29.4        479.737     -0.0405145         26.261    -0.00367139       0.081925        26.4927    -0.00258302        469.789     -0.0653767       0.417525      0.0525473      -0.690292    -0.00236788       0.938785     0.00185319     0.00925362     0.00946435              0
              3          DTEMP           39.2        480.711     -0.0588854        26.3431    -0.00470684      0.0818862        26.5534    -0.00360689        471.254     -0.0841916       0.417576      0.0525473      -0.713497    -0.00236788       0.956946     0.00185319       0.012331      0.0126052              0
              4          DTEMP             49        482.045     -0.0772564        26.4455    -0.00574229      0.0818508        26.6341    -0.00463077        473.089      -0.103006       0.417623      0.0525473      -0.736702    -0.00236788       0.975107     0.00185319      0.0154011      0.0157352              0
              5          DTEMP           58.8        483.739     -0.0956273        26.5682    -0.00677775      0.0818191        26.7349    -0.00565465        475.292      -0.121821       0.417668      0.0525473      -0.759907    -0.00236788       0.993268     0.00185319      0.0184615      0.0188517              0
              6          DTEMP           68.6        485.794      -0.113998        26.7112     -0.0078132      0.0817909        26.8558    -0.00667853        477.864      -0.140636        0.41771      0.0525473      -0.783113    -0.00236788        1.01143     0.00185319      0.0215101      0.0219527              0
              7          DTEMP           78.4        488.208      -0.132369        26.8745    -0.00884865      0.0817663        26.9967    -0.00770241        480.805      -0.159451        0.41775      0.0525473      -0.806318    -0.00236788        1.02959     0.00185319      0.0245447      0.0250359              0
              8          DTEMP           88.2        490.983       -0.15074        27.0581     -0.0098841      0.0817453        27.1577    -0.00872629        484.115      -0.178266       0.417786      0.0525473      -0.829523    -0.00236788        1.04775     0.00185319      0.0275632       0.028099              0
              9          DTEMP             98        494.117      -0.169111         27.262     -0.0109196      0.0817279        27.3388    -0.00975017        487.793      -0.197081       0.417819      0.0525473      -0.852728    -0.00236788        1.06591     0.00185319      0.0305636      0.0311402              0
             10          DTEMP          107.8        497.612      -0.187482        27.4861      -0.011955       0.081714        27.5399      -0.010774         491.84      -0.215896       0.417849      0.0525473      -0.875934    -0.00236788        1.08407     0.00185319       0.033544      0.0341574              0
             11          DTEMP          117.6        501.466      -0.205853        27.7306     -0.0129905      0.0817036        27.7611     -0.0117979        496.256      -0.234711       0.417876      0.0525473      -0.899139    -0.00236788        1.10224     0.00185319      0.0365024      0.0371487              0
             12          DTEMP          127.4        505.681      -0.224224        27.9954     -0.0140259      0.0816966        28.0024     -0.0128218        501.041      -0.253526         0.4179      0.0525473      -0.922344    -0.00236788         1.1204     0.00185319      0.0394372      0.0401124              0
             13          DTEMP          137.2        510.256      -0.242595        28.2804     -0.0150614       0.081693        28.2638     -0.0138457        506.194       -0.27234       0.417921      0.0525473      -0.945549    -0.00236788        1.13856     0.00185319      0.0423465      0.0430469              0
             14          DTEMP            147        515.191      -0.260966        28.5858     -0.0160968      0.0816927        28.5452     -0.0148696        511.717      -0.291155       0.417939      0.0525473      -0.968754    -0.00236788        1.15672     0.00185319      0.0452289      0.0459506              0
             15          DTEMP          156.8        520.486      -0.279337        28.9114     -0.0171323      0.0816955        28.8466     -0.0158934        517.608       -0.30997       0.417954      0.0525473       -0.99196    -0.00236788        1.17488     0.00185319      0.0480828      0.0488222              0
             16          DTEMP          166.6        526.141      -0.297708        29.2574     -0.0181677      0.0817013        29.1682     -0.0169173        523.868      -0.328785       0.417967      0.0525473       -1.01516    -0.00236788        1.19304     0.00185319      0.0509068      0.0516602              0
             17          DTEMP          176.4        532.156      -0.316079        29.6236     -0.0192032      0.0817102        29.5098     -0.0179412        530.496        -0.3476       0.417976      0.0525473       -1.03837    -0.00236788         1.2112     0.00185319      0.0536997      0.0544635              0
